id,phrase,feature_1,feature_2,feature_3,sentiment
1100,"The dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",22.0,,6.0,0
1101,"-LRB- Carvey 's -RRB- characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .",22.0,1.0,8.0,0
1102,An uneven mix of dark satire and childhood awakening .,10.0,1.0,1.0,0
1103,Worth catching for Griffiths ' warm and winning central performance .,11.0,,2.0,2
1104,Each scene wreaks of routine ; the film never manages to generate a single threat of suspense .,18.0,1.0,2.0,1
1105,An unintentional parody of every teen movie made in the last five years .,,1.0,,1
1106,"Much of The Lady and the Duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes .",30.0,4.0,,2
1107,The difference is that I truly enjoyed most of Mostly Martha while I ne,14.0,5.0,0.0,2
1108,El Crimen Del Padre Amaro would likely be most effective if used as a tool to rally anti-Catholic protestors .,20.0,5.0,2.0,0
1109,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,26.0,3.0,,2
1110,"Basically , it 's pretty but dumb .",8.0,1.0,3.0,1
1111,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",34.0,1.0,5.0,1
1112,A bodice-ripper for intellectuals .,5.0,1.0,2.0,2
1113,... The movie feels stitched together from stock situations and characters from other movies .,15.0,1.0,4.0,0
1114,"A movie just for Friday fans , critics be damned .",11.0,2.0,2.0,2
1115,"too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .",,0.0,2.0,0
1116,Do n't hate El Crimen del Padre Amaro because it 's anti-Catholic .,13.0,5.0,,1
1117,"An affable but undernourished romantic comedy that fails to match the freshness of the actress-producer and writer 's previous collaboration , Miss Congeniality .",24.0,3.0,4.0,0
1118,"Loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness .",19.0,1.0,,0
1119,"We never truly come to care about the main characters and whether or not they 'll wind up together , and Michele 's spiritual quest is neither amusing nor dramatic enough to sustain interest .",35.0,,4.0,0
1120,And he allows a gawky actor like Spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range .,28.0,,5.0,2
1121,"The secrets of time travel will have been discovered , indulged in and rejected as boring before I see this piece of crap again .",25.0,2.0,2.0,0
1122,"Filmmakers Dana Janklowicz-Mann and Amir Mann area headed east , Far East , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of German Jewish refugees while the world 's democracie",41.0,9.0,6.0,2
1123,An edgy thriller that delivers a surprising punch .,9.0,1.0,1.0,2
1124,It 's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more .,,1.0,4.0,2
1125,"Brainless , but enjoyably over-the-top , the retro gang melodrama , Deuces Wild represents fifties teen-gang machismo in a way that borders on rough-trade homo-eroticism .",26.0,,9.0,0
1126,This is a fascinating film because there is no clear-cut hero and no all-out villain .,16.0,1.0,3.0,2
1127,A compelling allegory about the last days of Germany 's democratic Weimar Republic .,14.0,4.0,2.0,2
1128,But it does n't need Gangs of New York .,,,2.0,1
1129,` Opening up ' the play more has partly closed it down .,13.0,1.0,3.0,0
1130,"As Hannibal would say , yes , ` It 's like having an old friend for dinner ' .",19.0,3.0,6.0,2
1131,Waiting for Godard can be fruitful : ` In Praise of Love ' is the director 's epitaph for himself .,21.0,,5.0,2
1132,It is just too bad the film 's story does not live up to its style .,17.0,1.0,2.0,0
1133,Fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .,16.0,1.0,5.0,1
1134,"Sparkling , often hilarious romantic jealousy comedy ... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called ` My Husband Is Travis Bickle ' .",34.0,9.0,,2
1135,Broomfield reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force .,20.0,1.0,3.0,1
1136,This stuck pig of a movie flails limply between bizarre comedy and pallid horror .,15.0,1.0,1.0,0
1137,"... one big laugh , three or four mild giggles , and a whole lot of not much else .",20.0,0.0,,1
1138,"Lyne 's latest , the erotic thriller Unfaithful , further demonstrates just how far his storytelling skills have eroded .",,2.0,4.0,0
1139,Bogdanich is unashamedly pro-Serbian and makes little attempt to give voice to the other side .,16.0,1.0,2.0,0
1140,"Too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .",35.0,1.0,2.0,0
1141,Exciting and well-paced .,4.0,1.0,,2
1142,"Though an important political documentary , this does not really make the case the Kissinger should be tried as a war criminal .",23.0,,2.0,0
1143,"Gives us a lot to chew on , but not all of it has been properly digested .",,1.0,2.0,1
1144,"Though uniformly well acted , especially by young Ballesta and Galan -LRB- a first-time actor -RRB- , writer\/director Achero Manas 's film is schematic and obvious .",27.0,5.0,11.0,1
1145,"This is n't a terrible film by any means , but it 's also far from being a realized work .",21.0,1.0,4.0,1
1146,The movie is too impressed with its own solemn insights to work up much entertainment value .,17.0,1.0,,0
1147,Viveka Seldahl and Sven Wollter will touch you to the core in a film you will never forget -- that you should never forget .,,4.0,3.0,2
1148,"Unintelligible , poorly acted , brain-slappingly bad , Harvard Man is ludicrous enough that it could become a cult classic .",21.0,3.0,5.0,1
1149,The one not-so-small problem with Expecting is that the entire exercise has no real point .,16.0,2.0,3.0,0
1150,Both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes .,,1.0,1.0,2
1151,The casting of von Sydow ... is itself Intacto 's luckiest stroke .,13.0,3.0,5.0,2
1152,Jackass is a vulgar and cheap-looking version of Candid Camera staged for the Marquis de Sade set .,18.0,,2.0,0
1153,"The result is a powerful , naturally dramatic piece of low-budget filmmaking .",,1.0,3.0,2
1154,"shows Holmes has the screen presence to become a major-league leading lady , -LRB- but -RRB- the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that 's scarcely a surprise by the time it arrives .",,1.0,9.0,0
1155,A heroic tale of persistence that is sure to win viewers ' hearts .,14.0,1.0,2.0,2
1156,The pleasure of Read My Lips is like seeing a series of perfect black pearls clicking together to form a string .,22.0,4.0,1.0,2
1157,a stereotype,,0.0,0.0,0
1158,Well-meaning but inert .,4.0,1.0,2.0,1
1159,"What 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",28.0,1.0,,2
1160,"A reminder that beyond all the hype and recent digital glitz , Spielberg knows how to tell us about people .",21.0,2.0,,2
1161,Walsh ca n't quite negotiate the many inconsistencies in Janice 's behavior or compensate for them by sheer force of charm .,22.0,2.0,,1
1162,The problems of the people in Love in the Time of Money are hardly specific to their era .,19.0,4.0,1.0,1
1163,"Less cinematically powerful than quietly and deeply moving , which is powerful in itself .",15.0,,2.0,1
1164,"The following things are not at all entertaining : The bad sound , the lack of climax and , worst of all , watching Seinfeld -LRB- who is also one of the film 's producers -RRB- do everything he can to look like a good guy .",,3.0,10.0,0
1165,Debate it .,3.0,1.0,1.0,1
1166,... a bland murder-on-campus yawner .,6.0,0.0,6.0,0
1167,"Assayas ' ambitious , sometimes beautiful adaptation of Jacques Chardonne 's novel .",13.0,3.0,4.0,2
1168,A manically generous Christmas vaudeville .,6.0,2.0,1.0,2
1169,"While we want MacDowell 's character to retrieve her husband , we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her .",,2.0,3.0,1
1170,"If the material is slight and admittedly manipulative , Jacquot preserves Tosca 's intoxicating ardor through his use of the camera .",22.0,3.0,3.0,2
1171,"Tsai Ming-liang 's witty , wistful new film , What Time Is It There ?",15.0,7.0,5.0,2
1172,"Silly stuff , all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another .",25.0,1.0,4.0,0
1173,A smart little indie .,5.0,,1.0,2
1174,Heaven is a haunting dramatization of a couple 's moral ascension .,12.0,,2.0,1
1175,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,24.0,8.0,,1
1176,"A pretty decent kid-pleasing , tolerable-to-adults lark of a movie .",11.0,1.0,5.0,2
1177,"Definitely in the guilty pleasure B-movie category , Reign of Fire is so incredibly inane that it is laughingly enjoyable .",21.0,4.0,3.0,2
1178,"Anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed , joyous romp of a film .",25.0,1.0,3.0,2
1179,Overly long and worshipful bio-doc .,6.0,1.0,2.0,0
1180,A sloppy slapstick throwback to long gone bottom-of-the-bill fare like The Ghost and Mr. Chicken .,16.0,5.0,5.0,0
1181,"The first mistake , I suspect , is casting Shatner as a legendary professor and Kunis as a brilliant college student -- where 's Pauly Shore as the rocket scientist ?",31.0,6.0,6.0,0
1182,Too daft by half ... but supremely good natured .,10.0,1.0,4.0,2
1183,"The biggest problem with Roger Avary 's uproar against the MPAA is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",43.0,4.0,9.0,0
1184,"While it may not add up to the sum of its parts , Holofcener 's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often .",45.0,2.0,4.0,2
1185,"Much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .",28.0,1.0,5.0,2
1186,Steven Spielberg brings us another masterpiece,6.0,2.0,0.0,2
1187,"Claims to sort the bad guys from the good , which is its essential problem .",16.0,,,0
1188,Arty gay film .,4.0,1.0,,1
1189,The problem is that Van Wilder does little that is actually funny with the material .,16.0,3.0,1.0,0
1190,A lame comedy .,4.0,1.0,,0
1191,I have to admit that I am baffled by Jason X.,11.0,4.0,1.0,0
1192,"The most audacious , outrageous , sexually explicit , psychologically probing , pure libido film of the year has arrived from Portugal .",23.0,2.0,5.0,2
1193,Admirably ambitious but self-indulgent .,5.0,,2.0,1
1194,This is n't a new idea .,7.0,1.0,2.0,0
1195,Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,14.0,1.0,,2
1196,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series .,,,,0
1197,"Tom Shadyac has learned a bit more craft since directing Adams , but he still lingers over every point until the slowest viewer grasps it .",26.0,,2.0,1
1198,"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .",23.0,1.0,,1
1199,Crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .,17.0,1.0,2.0,2
1200,It is n't scary .,5.0,1.0,2.0,0
1201,Just a Kiss wants desperately to come off as a fanciful film about the typical problems of average people .,20.0,2.0,1.0,1
1202,The only thing `` swept away '' is the one hour and thirty-three minutes spent watching this waste of time .,21.0,,6.0,0
1203,"The little girls understand , and McCracken knows that 's all that matters .",14.0,2.0,3.0,2
1204,Represents the depths to which the girls-behaving-badly film has fallen .,11.0,1.0,3.0,0
1205,echo of allusions to other films .,7.0,0.0,1.0,1
1206,"Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .",23.0,1.0,7.0,0
1207,"Sweetly sexy , funny and touching .",,,2.0,2
1208,"A perfect example of rancid , well-intentioned , but shamelessly manipulative movie making .",14.0,1.0,4.0,0
1209,MY LITTLE EYE is the best little `` horror '' movie I 've seen in years .,17.0,4.0,6.0,2
1210,"It provides a grim , upsetting glimpse at the lives of some of the 1.2 million Palestinians who live in the crowded cities and refugee camps of Gaza .",29.0,3.0,3.0,1
1211,An unsuccessful attempt at a movie of ideas .,,1.0,1.0,0
1212,"It 's mildly amusing , but I certainly ca n't recommend it .",13.0,2.0,4.0,0
1213,About Schmidt belongs to Nicholson .,6.0,3.0,1.0,2
1214,The last three narcissists left on earth compete for each others ' affections .,14.0,1.0,2.0,1
1215,"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing .",,3.0,4.0,1
1216,"Well , in some of those , the mother deer even dies .",13.0,1.0,,0
1217,"Maid in Manhattan might not look so appealing on third or fourth viewing down the road ... But as a high concept vehicle for two bright stars of the moment who can rise to fans ' lofty expectations , the movie passes inspection .",,3.0,,1
1218,A hypnotic cyber hymn and a cruel story of youth culture .,12.0,1.0,1.0,2
1219,is an inexpressible and drab wannabe looking for that exact niche .,12.0,,1.0,0
1220,Without any redeeming value whatsoever .,6.0,1.0,1.0,0
1221,` Unfaithful ' cheats on itself and retreats to comfortable territory .,12.0,1.0,3.0,0
1222,Old-fashioned but thoroughly satisfying entertainment .,6.0,1.0,2.0,2
1223,Matters play out realistically if not always fairly .,9.0,1.0,1.0,2
1224,Although it does n't always hang together -- violence and whimsy do n't combine easily -- `` Cherish '' certainly is n't dull .,24.0,,12.0,1
1225,"Although Frailty fits into a classic genre , in its script and execution it is a remarkably original work .",20.0,2.0,2.0,2
1226,Viewers of Barney 's crushingly self-indulgent spectacle will see nothing in it to match the ordeal of sitting through it .,21.0,2.0,3.0,0
1227,"A powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .",26.0,1.0,4.0,2
1228,Certainly .,2.0,1.0,,1
1229,"Call me a cold-hearted curmudgeon for not being able to enjoy a mindless action movie , but I believe a movie can be mindless without being the peak of all things insipid .",33.0,2.0,3.0,0
1230,A true pleasure .,,1.0,1.0,2
1231,"Smith examines the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country .",26.0,,4.0,2
1232,"The story is also as unoriginal as they come , already having been recycled more times than I 'd care to count .",23.0,2.0,3.0,0
1233,"A remarkable movie with an unsatisfying ending , which is just the point .",14.0,,2.0,2
1234,Amazingly dopey .,3.0,,1.0,2
1235,Takes a simple premise and carries it to unexpected heights .,11.0,1.0,1.0,2
1236,Most of the storylines feel like time fillers between surf shots .,12.0,1.0,1.0,0
1237,The rare movie that 's as crisp and to the point as the novel on which it 's based .,20.0,1.0,3.0,2
1238,... a funny yet dark and seedy clash of cultures and generations .,13.0,0.0,4.0,2
1239,"These three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .",27.0,1.0,3.0,2
1240,Good-naturedly cornball sequel .,4.0,1.0,2.0,2
1241,"Mostly , Shafer and co-writer Gregory Hinton lack a strong-minded viewpoint , or a sense of humor .",18.0,4.0,5.0,0
1242,A dreary indulgence .,,1.0,1.0,1
1243,An often unfunny romp .,,1.0,1.0,1
1244,"There 's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream .",20.0,1.0,3.0,0
1245,"Streamlined to a tight , brisk 85-minute screwball thriller , `` Big Trouble '' is funny , harmless and as substantial as a tub of popcorn with extra butter .",30.0,3.0,,1
1246,"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .",30.0,4.0,3.0,0
1247,Less front-loaded and more shapely than the two-hour version released here in 1990 .,,1.0,3.0,1
1248,"Bogdanovich taps deep into the Hearst mystique , entertainingly reenacting a historic scandal .",,2.0,2.0,2
1249,"K-19 will not go down in the annals of cinema as one of the great submarine stories , but it is an engaging and exciting narrative of Man confronting the Demons of his own fear and paranoia .",38.0,3.0,3.0,2
1250,"By turns fanciful , grisly and engagingly quixotic .",9.0,1.0,2.0,2
1251,"It looks good , but it is essentially empty .",10.0,1.0,2.0,0
1252,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,17.0,1.0,1.0,0
1253,Shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...,21.0,,4.0,0
1254,"But even then , I 'd recommend waiting for DVD and just skipping straight to her scenes .",18.0,3.0,3.0,0
1255,A handsome but unfulfilling suspense drama more suited to a quiet evening on PBS than a night out at an AMC .,22.0,3.0,1.0,0
1256,My Wife 's plotting is nothing special ; it 's the delivery that matters here .,16.0,2.0,4.0,1
1257,"The Tuxedo was n't just bad ; it was , as my friend David Cross would call it , ` Hungry-Man portions of bad ' .",26.0,5.0,8.0,0
1258,Debut effort by `` Project Greenlight '' winner is sappy and amateurish .,13.0,3.0,5.0,0
1259,Likely to have decades of life as a classic movie franchise ?,,,1.0,2
1260,"Life or Something Like It has its share of high points , but it misses too many opportunities .",19.0,4.0,2.0,1
1261,Kapur weighs down the tale with bogus profundities .,9.0,1.0,1.0,0
1262,One of those films that started with a great premise and then just fell apart .,16.0,1.0,,0
1263,One can only assume that the jury who bestowed star Hoffman 's brother Gordy with the Waldo Salt Screenwriting award at 2002 's Sundance Festival were honoring an attempt to do something different over actually pulling it off,38.0,8.0,2.0,0
1264,An extraordinarily silly thriller .,5.0,1.0,,1
1265,"... a movie that , quite simply , should n't have been made .",14.0,0.0,7.0,0
1266,"That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon -LRB- who is always a joy to watch , even when her material is not first-rate -RRB- ...",,3.0,11.0,2
1267,"So muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style .",24.0,1.0,3.0,0
1268,... digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations .,23.0,0.0,4.0,2
1269,Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,19.0,1.0,3.0,2
1270,You could put it on a coffee table anywhere .,10.0,1.0,1.0,1
1271,"This is cruel , misanthropic stuff with only weak claims to surrealism and black comedy .",16.0,1.0,2.0,0
1272,Becomes the last thing you would expect from a film with this title or indeed from any Plympton film : boring .,22.0,2.0,2.0,0
1273,"The two leads , nearly perfect in their roles , bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie .",32.0,,,2
1274,"The story 's scope and pageantry are mesmerizing , and Mr. Day-Lewis roars with leonine power .",,3.0,,2
1275,The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis -LRB- Auteil -RRB- and Emilie -LRB- Le Besco -RRB- .,27.0,6.0,13.0,1
1276,"Wewannour money back , actually .",6.0,1.0,2.0,0
1277,Charming and funny -LRB- but ultimately silly -RRB- movie .,10.0,1.0,,1
1278,"Forget the misleading title , what 's with the unexplained baboon cameo ?",13.0,1.0,3.0,0
1279,Frank Capra played this story straight .,7.0,2.0,1.0,2
1280,What you expect is just what you get ... assuming the bar of expectations has n't been raised above sixth-grade height .,22.0,,,0
1281,Two tedious acts light on great scares and a good surprise ending .,13.0,,1.0,2
1282,In the end there is one word that best describes this film : honest .,15.0,1.0,2.0,2
1283,"-LRB- Dong -RRB- makes a valiant effort to understand everyone 's point of view , and he does such a good job of it that Family Fundamentals gets you riled up .",32.0,3.0,7.0,2
1284,It 's just that it 's so not-at-all-good .,,1.0,6.0,0
1285,The movie eventually snaps under the strain of its plot contrivances and its need to reassure .,,1.0,1.0,0
1286,This sci-fi techno-sex thriller starts out bizarre and just keeps getting weirder .,13.0,1.0,3.0,1
1287,A movie like The Guys is why film criticism can be considered work .,14.0,,1.0,0
1288,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",31.0,5.0,2.0,2
1289,A wild ride juiced with enough energy and excitement for at least three films .,,1.0,1.0,2
1290,"An empty exercise , a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance .",,1.0,2.0,0
1291,Do you say `` hi '' to your lover when you wake up in the morning ?,17.0,1.0,5.0,1
1292,Blue Crush is as predictable as the tides .,9.0,2.0,1.0,0
1293,"It 's better than mid-range Steven Seagal , but not as sharp as Jet Li on rollerblades .",,5.0,,1
1294,Does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of Richard Nixon .,21.0,,,1
1295,Spare yet audacious ...,4.0,,3.0,1
1296,"Before long , you 're desperate for the evening to end .",12.0,1.0,3.0,0
1297,"Children , Christian or otherwise , deserve to hear the full story of Jonah 's despair -- in all its agonizing , Catch-22 glory -- even if they spend years trying to comprehend it .",35.0,4.0,10.0,2
1298,Too clever by about nine-tenths .,6.0,1.0,2.0,2
1299,This is more a case of ` Sacre bleu ! ',11.0,2.0,3.0,1
1300,The film ultimately offers nothing more than people in an urban jungle needing other people to survive ...,18.0,1.0,3.0,0
1301,"This is a stunning film , a one-of-a-kind tour de force .",12.0,1.0,5.0,2
1302,"It sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",26.0,1.0,4.0,0
1303,I 'm guessing the director is a magician .,9.0,1.0,2.0,2
1304,"Madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like Michael Jackson 's nose .",26.0,3.0,5.0,0
1305,The film offers an intriguing what-if premise .,8.0,1.0,2.0,2
1306,"A penetrating , potent exploration of sanctimony , self-awareness , self-hatred and self-determination .",14.0,1.0,7.0,2
1307,Just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills .,,,1.0,0
1308,Parents beware ; this is downright movie penance .,9.0,1.0,2.0,0
1309,"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",,6.0,6.0,2
1310,It wears its heart on the sleeve of its gaudy Hawaiian shirt .,,2.0,1.0,0
1311,Forget about one Oscar nomination for Julianne Moore this year - she should get all five .,17.0,4.0,2.0,2
1312,But what 's nice is that there 's a casual intelligence that permeates the script .,16.0,1.0,3.0,2
1313,It 's difficult to discern if this is a crazy work of disturbed genius or merely 90 minutes of post-adolescent Electra rebellion .,23.0,2.0,3.0,1
1314,-LRB- P -RRB- artnering Murphy with Robert De Niro for the TV-cops comedy Showtime would seem to be surefire casting .,21.0,7.0,6.0,2
1315,"Starts slowly , but Adrien Brody -- in the title role -- helps make the film 's conclusion powerful and satisfying .",,3.0,7.0,2
1316,"Vividly demonstrates that the director of such Hollywood blockbusters as Patriot Games can still turn out a small , personal film with an emotional wallop .",26.0,4.0,2.0,2
1317,"Just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little-known perspective .",27.0,,3.0,2
1318,"Fast and funny , an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd .",23.0,,4.0,2
1319,"If you are into splatter movies , then you will probably have a reasonably good time with The Salton Sea .",21.0,,2.0,2
1320,"From beginning to end , this overheated melodrama plays like a student film .",14.0,1.0,2.0,1
1321,"You do n't need to know your Ice-T 's from your Cool-J 's to realize that as far as these shootings are concerned , something is rotten in the state of California .",33.0,4.0,7.0,0
1322,Be patient with the lovely Hush !,7.0,,1.0,2
1323,Neil Burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present .,24.0,2.0,4.0,2
1324,"But while the highly predictable narrative falls short , Treasure Planet is truly gorgeous to behold .",,3.0,2.0,2
1325,"Offers big , fat , dumb laughs that may make you hate yourself for giving in .",,1.0,3.0,0
1326,"... a gleefully grungy , hilariously wicked black comedy ...",10.0,0.0,7.0,2
1327,"... even if you 've never heard of Chaplin , you 'll still be glued to the screen .",,1.0,7.0,2
1328,"Bray is completely at sea ; with nothing but a Savage Garden music video on his resume , he has no clue about making a movie .",27.0,3.0,,0
1329,"-LRB- Soderbergh -RRB- tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness .",32.0,1.0,7.0,0
1330,"Strange , funny , twisted , brilliant and macabre .",10.0,1.0,4.0,2
1331,It 's just merely very bad .,7.0,1.0,2.0,0
1332,It 's just a little too self-satisfied .,8.0,1.0,3.0,1
1333,"In the end , though , it is only mildly amusing when it could have been so much more .",20.0,1.0,3.0,1
1334,"Lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",22.0,1.0,3.0,0
1335,It aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one .,17.0,1.0,1.0,0
1336,"In Auteil 's less dramatic but equally incisive performance , he 's a charismatic charmer likely to seduce and conquer .",21.0,2.0,4.0,2
1337,"`` Secretary '' is owned by its costars , Spader and Gyllenhaal .",13.0,3.0,6.0,1
1338,"The story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me .",36.0,1.0,5.0,2
1339,"Dense , exhilarating documentary .",5.0,1.0,2.0,2
1340,"Twenty years later , E.T. is still a cinematic touchstone .",11.0,2.0,4.0,2
1341,A winning piece of work filled with love for the movies of the 1960s .,15.0,1.0,1.0,2
1342,Consider this review life-affirming .,5.0,1.0,2.0,1
1343,`` The turntable is now outselling the electric guitar ... '',11.0,1.0,7.0,1
1344,A sugar-coated Rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .,16.0,2.0,2.0,0
1345,"A witty , low-key romantic comedy .",7.0,1.0,,2
1346,"An awful lot like one of -LRB- Spears ' -RRB- music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .",42.0,2.0,,0
1347,"A moving , if uneven , success .",8.0,1.0,3.0,2
1348,"Instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",21.0,1.0,3.0,2
1349,"It 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",28.0,1.0,5.0,2
1350,Gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or laugh .,26.0,1.0,3.0,0
1351,"And second , what 's with all the shooting ?",,1.0,3.0,0
1352,Jonathan Parker 's Bartleby should have been the be-all-end-all of the modern-office anomie films .,15.0,3.0,6.0,2
1353,The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,16.0,,3.0,0
1354,This movie is to be cherished .,7.0,1.0,,2
1355,"Piercingly affecting ... while clearly a manipulative film , emerges as powerful rather than cloying .",,,5.0,2
1356,"There is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure .",26.0,,2.0,2
1357,Graced with the kind of social texture and realism that would be foreign in American teen comedies .,18.0,2.0,1.0,2
1358,Truly terrible .,3.0,1.0,1.0,0
1359,"The Ring is worth a look , if you do n't demand much more than a few cheap thrills from your Halloween entertainment .",24.0,3.0,3.0,1
1360,Viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some Freudian puppet .,24.0,2.0,1.0,1
1361,You wo n't have any trouble getting kids to eat up these Veggies .,14.0,,2.0,2
1362,"Presents a side of contemporary Chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation .",,2.0,2.0,2
1363,There are just too many characters saying too many clever things and getting into too many pointless situations .,19.0,,1.0,0
1364,"A lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .",18.0,,4.0,0
1365,"In this film we at least see a study in contrasts ; the wide range of one actor , and the limited range of a comedian .",27.0,1.0,3.0,1
1366,Especially give credit to Affleck .,,2.0,1.0,2
1367,Why ?,2.0,1.0,1.0,0
1368,"Each of these stories has the potential for Touched by an Angel simplicity and sappiness , but Thirteen Conversations About One Thing , for all its generosity and optimism , never resorts to easy feel-good sentiments .",37.0,8.0,5.0,2
1369,"Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",14.0,4.0,5.0,2
1370,"Niccol the filmmaker merges his collaborators ' symbolic images with his words , insinuating , for example , that in Hollywood , only God speaks to the press",28.0,3.0,5.0,2
1371,"Welles groupie\/scholar Peter Bogdanovich took a long time to do it , but he 's finally provided his own broadside at publishing giant William Randolph Hearst .",27.0,6.0,5.0,2
1372,"Nothing overly original , mind you , but solidly entertaining .",11.0,1.0,3.0,2
1373,It still feels like a prison stretch .,8.0,1.0,1.0,0
1374,"It 's refreshing that someone understands the need for the bad boy ; Diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly .",30.0,2.0,6.0,2
1375,He makes you realize that deep inside righteousness can be found a tough beauty .,15.0,1.0,1.0,2
1376,"A hard look at one man 's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of Claude Chabrol .",,3.0,,2
1377,The nicest thing that can be said about Stealing Harvard -LRB- which might have been called Freddy Gets Molested by a Dog -RRB- is that it 's not as obnoxious as Tom Green 's Freddie Got Fingered .,38.0,,7.0,0
